대여대여소번호,반납대여소번호,대여,반납,총대여,총반납,차이,총차이,ScoreMag,ScoreRatio,lent_stationName,return_stationName,url
128,141,426,721,9612,9498,-295,114,5,0.257192677,신촌역(2호선) 1번출구 옆,연대 대운동장 옆,http://map.daum.net/?sName=신촌역(2호선) 1번출구 옆 대여소&eName=연대 대운동장 옆 대여소&target=bicycle
132,141,110,246,6680,6284,-136,396,2,0.382022472,창천문화공원,연대 대운동장 옆,http://map.daum.net/?sName=창천문화공원 대여소&eName=연대 대운동장 옆 대여소&target=bicycle
113,130,268,136,32779,40103,132,-7324,2,0.326732673,홍대입구역 2번출구 앞,신촌역(2호선) 7번출구 앞,http://map.daum.net/?sName=홍대입구역 2번출구 앞 대여소&eName=신촌역(2호선) 7번출구 앞 대여소&target=bicycle
107,130,141,68,12206,14037,73,-1831,1,0.349282297,신한은행 서교동금융센터점 앞,신촌역(2호선) 7번출구 앞,http://map.daum.net/?sName=신한은행 서교동금융센터점 앞 대여소&eName=신촌역(2호선) 7번출구 앞 대여소&target=bicycle
120,130,125,215,3107,3243,-90,-136,1,0.264705882,신수동 사거리,신촌역(2호선) 7번출구 앞,http://map.daum.net/?sName=신수동 사거리 대여소&eName=신촌역(2호선) 7번출구 앞 대여소&target=bicycle
122,130,209,332,6438,6702,-123,-264,2,0.227356747,신성기사식당 앞,신촌역(2호선) 7번출구 앞,http://map.daum.net/?sName=신성기사식당 앞 대여소&eName=신촌역(2호선) 7번출구 앞 대여소&target=bicycle
113,169,102,197,32779,40103,-95,-7324,1,0.317725753,홍대입구역 2번출구 앞,북가좌 삼거리,http://map.daum.net/?sName=홍대입구역 2번출구 앞 대여소&eName=북가좌 삼거리 대여소&target=bicycle
113,174,105,202,32779,40103,-97,-7324,1,0.315960912,홍대입구역 2번출구 앞,명지대학교 학생회관,http://map.daum.net/?sName=홍대입구역 2번출구 앞 대여소&eName=명지대학교 학생회관 대여소&target=bicycle
113,207,164,88,32779,40103,76,-7324,1,0.301587302,홍대입구역 2번출구 앞,여의나루역 1번출구 앞,http://map.daum.net/?sName=홍대입구역 2번출구 앞 대여소&eName=여의나루역 1번출구 앞 대여소&target=bicycle
147,207,337,544,9441,11290,-207,-1849,4,0.234960272,마포역 4번출구 뒤,여의나루역 1번출구 앞,http://map.daum.net/?sName=마포역 4번출구 뒤 대여소&eName=여의나루역 1번출구 앞 대여소&target=bicycle
205,207,253,155,7337,7031,98,306,1,0.240196078,산업은행 앞,여의나루역 1번출구 앞,http://map.daum.net/?sName=산업은행 앞 대여소&eName=여의나루역 1번출구 앞 대여소&target=bicycle
146,207,316,210,10914,11574,106,-660,2,0.201520913,마포역 1번출구 뒤,여의나루역 1번출구 앞,http://map.daum.net/?sName=마포역 1번출구 뒤 대여소&eName=여의나루역 1번출구 앞 대여소&target=bicycle
202,207,818,1606,13050,14170,-788,-1120,15,0.325082508,국민일보 앞,여의나루역 1번출구 앞,http://map.daum.net/?sName=국민일보 앞 대여소&eName=여의나루역 1번출구 앞 대여소&target=bicycle
106,207,203,357,17613,16584,-154,1029,3,0.275,합정역 7번출구 앞,여의나루역 1번출구 앞,http://map.daum.net/?sName=합정역 7번출구 앞 대여소&eName=여의나루역 1번출구 앞 대여소&target=bicycle
130,207,82,147,8994,8893,-65,101,1,0.283842795,신촌역(2호선) 7번출구 앞,여의나루역 1번출구 앞,http://map.daum.net/?sName=신촌역(2호선) 7번출구 앞 대여소&eName=여의나루역 1번출구 앞 대여소&target=bicycle
144,207,340,519,14007,15077,-179,-1070,3,0.208381839,공덕역 8번출구,여의나루역 1번출구 앞,http://map.daum.net/?sName=공덕역 8번출구 대여소&eName=여의나루역 1번출구 앞 대여소&target=bicycle
113,164,187,344,32779,40103,-157,-7324,3,0.29566855,홍대입구역 2번출구 앞,북가좌1동 주민센터,http://map.daum.net/?sName=홍대입구역 2번출구 앞 대여소&eName=북가좌1동 주민센터 대여소&target=bicycle
113,179,407,712,32779,40103,-305,-7324,6,0.27256479,홍대입구역 2번출구 앞,가좌역 4번출구 앞,http://map.daum.net/?sName=홍대입구역 2번출구 앞 대여소&eName=가좌역 4번출구 앞 대여소&target=bicycle
166,179,867,577,8122,8785,290,-663,5,0.200831025,가재울 초등학교,가좌역 4번출구 앞,http://map.daum.net/?sName=가재울 초등학교 대여소&eName=가좌역 4번출구 앞 대여소&target=bicycle
116,179,73,151,9467,10180,-78,-713,1,0.348214286,일진아이윌아파트 옆,가좌역 4번출구 앞,http://map.daum.net/?sName=일진아이윌아파트 옆 대여소&eName=가좌역 4번출구 앞 대여소&target=bicycle
153,179,136,206,11604,12172,-70,-568,1,0.204678363,성산2교 사거리,가좌역 4번출구 앞,http://map.daum.net/?sName=성산2교 사거리 대여소&eName=가좌역 4번출구 앞 대여소&target=bicycle
168,179,164,101,2274,1469,63,805,1,0.237735849,남가좌동 사거리,가좌역 4번출구 앞,http://map.daum.net/?sName=남가좌동 사거리 대여소&eName=가좌역 4번출구 앞 대여소&target=bicycle
113,138,77,133,32779,40103,-56,-7324,1,0.266666667,홍대입구역 2번출구 앞,신촌동 제1공영주차장 앞,http://map.daum.net/?sName=홍대입구역 2번출구 앞 대여소&eName=신촌동 제1공영주차장 앞 대여소&target=bicycle
113,3102,1026,1686,32779,40103,-660,-7324,13,0.243362832,홍대입구역 2번출구 앞,연희삼거리,http://map.daum.net/?sName=홍대입구역 2번출구 앞 대여소&eName=연희삼거리 대여소&target=bicycle
114,3102,332,182,13563,13818,150,-255,3,0.291828794,홍대입구역 8번출구 앞,연희삼거리,http://map.daum.net/?sName=홍대입구역 8번출구 앞 대여소&eName=연희삼거리 대여소&target=bicycle
138,3102,201,72,4932,4737,129,195,2,0.472527473,신촌동 제1공영주차장 앞,연희삼거리,http://map.daum.net/?sName=신촌동 제1공영주차장 앞 대여소&eName=연희삼거리 대여소&target=bicycle
115,3102,345,205,8254,7077,140,1177,2,0.254545455,사루비아 빌딩 앞,연희삼거리,http://map.daum.net/?sName=사루비아 빌딩 앞 대여소&eName=연희삼거리 대여소&target=bicycle
107,3102,137,248,12206,14037,-111,-1831,2,0.288311688,신한은행 서교동금융센터점 앞,연희삼거리,http://map.daum.net/?sName=신한은행 서교동금융센터점 앞 대여소&eName=연희삼거리 대여소&target=bicycle
153,3102,140,72,11604,12172,68,-568,1,0.320754717,성산2교 사거리,연희삼거리,http://map.daum.net/?sName=성산2교 사거리 대여소&eName=연희삼거리 대여소&target=bicycle
3101,3102,209,108,3837,3295,101,542,2,0.318611987,서대문구청,연희삼거리,http://map.daum.net/?sName=서대문구청 대여소&eName=연희삼거리 대여소&target=bicycle
108,3102,81,150,8583,8757,-69,-174,1,0.298701299,서교동 사거리,연희삼거리,http://map.daum.net/?sName=서교동 사거리 대여소&eName=연희삼거리 대여소&target=bicycle
113,163,123,198,32779,40103,-75,-7324,1,0.23364486,홍대입구역 2번출구 앞,명지전문대학교 정문 앞,http://map.daum.net/?sName=홍대입구역 2번출구 앞 대여소&eName=명지전문대학교 정문 앞 대여소&target=bicycle
117,163,120,201,10247,10327,-81,-80,1,0.252336449,홍은사거리,명지전문대학교 정문 앞,http://map.daum.net/?sName=홍은사거리 대여소&eName=명지전문대학교 정문 앞 대여소&target=bicycle
113,153,1119,1752,32779,40103,-633,-7324,12,0.220480669,홍대입구역 2번출구 앞,성산2교 사거리,http://map.daum.net/?sName=홍대입구역 2번출구 앞 대여소&eName=성산2교 사거리 대여소&target=bicycle
103,153,149,84,10248,9142,65,1106,1,0.278969957,망원역 2번출구 앞,성산2교 사거리,http://map.daum.net/?sName=망원역 2번출구 앞 대여소&eName=성산2교 사거리 대여소&target=bicycle
113,175,450,691,32779,40103,-241,-7324,4,0.21121823,홍대입구역 2번출구 앞,홍연2교옆,http://map.daum.net/?sName=홍대입구역 2번출구 앞 대여소&eName=홍연2교옆 대여소&target=bicycle
163,175,134,76,2789,2320,58,469,1,0.276190476,명지전문대학교 정문 앞,홍연2교옆,http://map.daum.net/?sName=명지전문대학교 정문 앞 대여소&eName=홍연2교옆 대여소&target=bicycle
818,831,22,178,5921,6563,-156,-642,3,0.78,숙명여대 입구 교차로,이태원관광특구입구,http://map.daum.net/?sName=숙명여대 입구 교차로 대여소&eName=이태원관광특구입구 대여소&target=bicycle
805,831,55,149,4517,5252,-94,-735,1,0.460784314,문배어린이공원 앞,이태원관광특구입구,http://map.daum.net/?sName=문배어린이공원 앞 대여소&eName=이태원관광특구입구 대여소&target=bicycle
816,831,252,469,16000,16420,-217,-420,4,0.300970874,신용산역 6번출구 앞,이태원관광특구입구,http://map.daum.net/?sName=신용산역 6번출구 앞 대여소&eName=이태원관광특구입구 대여소&target=bicycle
825,831,106,195,10512,12350,-89,-1838,1,0.295681063,서빙고동 주민센터 앞,이태원관광특구입구,http://map.daum.net/?sName=서빙고동 주민센터 앞 대여소&eName=이태원관광특구입구 대여소&target=bicycle
812,831,123,213,2600,2209,-90,391,1,0.267857143,용산전쟁기념관,이태원관광특구입구,http://map.daum.net/?sName=용산전쟁기념관 대여소&eName=이태원관광특구입구 대여소&target=bicycle
818,835,130,300,5921,6563,-170,-642,3,0.395348837,숙명여대 입구 교차로,남영역 건너편,http://map.daum.net/?sName=숙명여대 입구 교차로 대여소&eName=남영역 건너편 대여소&target=bicycle
834,835,70,148,5855,6824,-78,-969,1,0.357798165,효창공원앞역 3번출구 뒤,남영역 건너편,http://map.daum.net/?sName=효창공원앞역 3번출구 뒤 대여소&eName=남영역 건너편 대여소&target=bicycle
312,451,27,217,9192,8974,-190,218,3,0.778688525,시청역 1번출구 뒤,청와대앞길,http://map.daum.net/?sName=시청역 1번출구 뒤 대여소&eName=청와대앞길 대여소&target=bicycle
312,394,67,169,9192,8974,-102,218,2,0.43220339,시청역 1번출구 뒤,경희궁 자이 3단지,http://map.daum.net/?sName=시청역 1번출구 뒤 대여소&eName=경희궁 자이 3단지 대여소&target=bicycle
367,394,83,135,3172,3080,-52,92,1,0.23853211,독립문역 3-1번출구,경희궁 자이 3단지,http://map.daum.net/?sName=독립문역 3-1번출구 대여소&eName=경희궁 자이 3단지 대여소&target=bicycle
312,391,384,204,9192,8974,180,218,3,0.306122449,시청역 1번출구 뒤,정동길입구,http://map.daum.net/?sName=시청역 1번출구 뒤 대여소&eName=정동길입구 대여소&target=bicycle
309,391,65,141,5992,4473,-76,1519,1,0.368932039,광화문역 6번출구 옆,정동길입구,http://map.daum.net/?sName=광화문역 6번출구 옆 대여소&eName=정동길입구 대여소&target=bicycle
312,369,116,202,9192,8974,-86,218,1,0.270440252,시청역 1번출구 뒤,광화문 시민열린마당,http://map.daum.net/?sName=시청역 1번출구 뒤 대여소&eName=광화문 시민열린마당 대여소&target=bicycle
305,369,119,238,7458,7793,-119,-335,2,0.333333333,종로구청 옆,광화문 시민열린마당,http://map.daum.net/?sName=종로구청 옆 대여소&eName=광화문 시민열린마당 대여소&target=bicycle
327,369,62,167,7393,6943,-105,450,2,0.458515284,낙원상가 옆,광화문 시민열린마당,http://map.daum.net/?sName=낙원상가 옆 대여소&eName=광화문 시민열린마당 대여소&target=bicycle
314,369,103,260,7832,7432,-157,400,3,0.432506887,국립현대미술관,광화문 시민열린마당,http://map.daum.net/?sName=국립현대미술관 대여소&eName=광화문 시민열린마당 대여소&target=bicycle
311,369,433,249,12978,9711,184,3267,3,0.269794721,서울광장 옆,광화문 시민열린마당,http://map.daum.net/?sName=서울광장 옆 대여소&eName=광화문 시민열린마당 대여소&target=bicycle
315,369,92,170,4894,4709,-78,185,1,0.297709924,신한은행 안국역지점 옆,광화문 시민열린마당,http://map.daum.net/?sName=신한은행 안국역지점 옆 대여소&eName=광화문 시민열린마당 대여소&target=bicycle
306,369,168,95,6507,5357,73,1150,1,0.27756654,광화문역 7번출구 앞,광화문 시민열린마당,http://map.daum.net/?sName=광화문역 7번출구 앞 대여소&eName=광화문 시민열린마당 대여소&target=bicycle
2050,2057,51,359,12783,16028,-308,-3245,6,0.751219512,노량진역 5번출구,상도 아이파크 아파트,http://map.daum.net/?sName=노량진역 5번출구 대여소&eName=상도 아이파크 아파트 대여소&target=bicycle
2020,2057,65,205,3006,2470,-140,536,2,0.518518519,장승배기역2번출구뒷편쪽,상도 아이파크 아파트,http://map.daum.net/?sName=장승배기역2번출구뒷편쪽 대여소&eName=상도 아이파크 아파트 대여소&target=bicycle
2015,2057,73,131,6949,8246,-58,-1297,1,0.284313725,신대방삼거리역 6번출구쪽,상도 아이파크 아파트,http://map.daum.net/?sName=신대방삼거리역 6번출구쪽 대여소&eName=상도 아이파크 아파트 대여소&target=bicycle
2050,829,83,166,12783,16028,-83,-3245,1,0.333333333,노량진역 5번출구,베르가모앞,http://map.daum.net/?sName=노량진역 5번출구 대여소&eName=베르가모앞 대여소&target=bicycle
2058,829,118,248,10382,10857,-130,-475,2,0.355191257,노량진동 맥도널드앞,베르가모앞,http://map.daum.net/?sName=노량진동 맥도널드앞 대여소&eName=베르가모앞 대여소&target=bicycle
816,829,687,454,16000,16420,233,-420,4,0.204206836,신용산역 6번출구 앞,베르가모앞,http://map.daum.net/?sName=신용산역 6번출구 앞 대여소&eName=베르가모앞 대여소&target=bicycle
2050,2054,286,437,12783,16028,-151,-3245,3,0.208852006,노량진역 5번출구,삼익아파트,http://map.daum.net/?sName=노량진역 5번출구 대여소&eName=삼익아파트 대여소&target=bicycle
2003,2054,82,153,7661,7766,-71,-105,1,0.30212766,사육신공원앞,삼익아파트,http://map.daum.net/?sName=사육신공원앞 대여소&eName=삼익아파트 대여소&target=bicycle
129,136,45,304,6810,6674,-259,136,5,0.742120344,신촌역(2호선) 6번출구 옆,대흥동 주민센터,http://map.daum.net/?sName=신촌역(2호선) 6번출구 옆 대여소&eName=대흥동 주민센터 대여소&target=bicycle
126,136,143,252,10989,11438,-109,-449,2,0.275949367,서강대 후문 옆,대흥동 주민센터,http://map.daum.net/?sName=서강대 후문 옆 대여소&eName=대흥동 주민센터 대여소&target=bicycle
2221,2235,60,369,4065,4561,-309,-496,6,0.72027972,하나은행 방배동지점 앞,KT 서초지사 앞,http://map.daum.net/?sName=하나은행 방배동지점 앞 대여소&eName=KT 서초지사 앞 대여소&target=bicycle
